ID,microhemorrhages,giant_capillaries,bushy_capillaries,normal_density
blutung1,1,0,0,0
blutung2,1,0,0,0
blutung3,1,0,0,0
blutung4,1,1,0,0
blutung5,1,1,0,0
Bueschel11,0,0,1,0
Bueschel1,0,0,1,0
Bueschel3,0,0,1,0
Bueschel4,0,0,1,0
Bueschel6,0,0,1,0
Bueschel7,0,0,1,0
Kapillare_10,0,1,0,0
Kapillare_11,1,1,0,0
Kapillare_1,1,1,0,0
Kapillare_2,0,1,0,0
Kapillare_4,0,1,0,0
Kapillare_6,0,1,0,0
Kapillare_7,0,1,0,0
Kapillare_8,0,1,0,0
Kapillare_9,0,1,0,0
Normalbefund_1,0,0,0,0
Normalbefund_2,0,0,0,0
Normalbefund_3,0,0,0,0
Normalbefund_4,0,0,0,0
Normalbefund_5,0,0,0,0
Normalbefund_6,0,0,0,0
Torquierungen_1,0,0,0,1
Torquierungen_2,0,0,0,0
VerringerteDichte_4,0,0,0,1
VerringerteDichte_7,0,0,0,1
VerringerteDichte_Beispiel1,0,0,0,1
VerringerteDichte_Beispiel3,0,0,0,1
VerringerteDichte_Beispiel5,0,0,0,1
Verringerte_Dichte,0,0,0,1
seq0051,0,0,0,0
seq0052,0,0,0,0
seq0053,1,0,0,0
seq0054,0,0,0,0
seq0056,0,0,0,0
seq0057,0,0,0,0
seq0058,0,0,0,0
seq0059,0,0,1,0
seq0060,0,0,1,0
seq0303,0,0,0,0
seq0304,0,0,0,0
seq0305,0,0,0,0
seq0306,0,0,0,0
seq0307,0,0,0,0
seq0308,1,0,0,0
seq0309,0,0,0,0
seq0310,0,0,0,0
seq0311,0,0,0,0
seq0312,0,0,0,0
seq0313,0,0,0,0
seq0314,0,0,0,0
seq0315,0,0,0,0
seq0316,0,0,0,0
seq0317,0,0,0,0
seq0338,0,0,0,0
seq0339,0,0,0,0
seq0340,0,0,0,0
seq0342,0,0,0,0
seq0344,0,0,0,0
seq0346,0,0,0,0
seq0347,0,0,0,0
seq0348,0,0,1,0
seq0349,0,0,0,0
seq0350,0,0,0,0
seq0414,0,0,1,0
seq0031,0,0,0,0
seq0032,0,0,0,0
seq0033,0,0,0,0
seq0034,1,0,0,0
seq0035,0,0,0,0
seq0036,0,0,0,0
seq0037,0,0,0,0
seq0038,0,0,0,0
seq0039,0,0,0,0
seq0040,0,0,0,0
seq0041,0,0,0,0
seq0042,0,0,0,0
seq0043,0,0,0,0
seq0044,0,1,0,0
seq0045,0,0,0,0
seq0046,0,0,0,0
seq0222,0,0,0,0
seq0223,0,0,0,0
seq0224,0,0,0,0
seq0225,0,0,0,0
seq0226,0,0,0,0
seq0227,0,0,0,0
seq0231,0,0,0,0
seq0232,0,0,1,0
seq0233,0,0,0,0
seq0234,0,0,0,0
seq0235,1,0,0,0
seq0236,1,0,0,0
seq0237,0,0,0,0
seq0238,0,0,0,0
seq0239,0,0,0,0
seq0306,0,0,0,0
seq0308,0,0,0,0
seq0309,0,0,0,0
seq0310,1,0,0,0
seq0311,0,0,0,0
seq0313,0,0,0,0
seq0314,0,0,0,0
seq0315,0,0,0,0
seq0316,0,0,0,0
Seq0317_1,0,0,0,0
seq0318,0,0,0,0
seq0070,0,0,0,0
seq0071,0,0,0,0
seq0072,0,0,0,0
seq0074,0,0,0,0
seq0075,0,0,0,0
seq0076,0,0,0,0
seq0077,0,0,0,0
seq0078,0,0,0,0
seq0080,0,0,0,0
seq0081,0,0,0,0
seq0082,0,0,0,0
seq0083,0,0,0,0
seq0084,0,0,0,0
seq0085,0,0,0,0
seq0086,0,0,0,0
seq0087,0,0,0,0
seq0088,0,0,0,0
seq0089,0,0,0,0
Normalbefund_1_1,0,0,0,0
Normalbefund_1_2,0,0,0,0
Normalbefund_1_3,0,0,0,0
Normalbefund_1_4,0,0,0,0
Normalbefund_1_5,0,0,0,0
Normalbefund_1_6,0,0,0,0
MegakapillarenEktasien1,0,1,0,0
MegakapillarenEktasien2,1,1,0,0
MegakapillarenEktasien3,0,1,0,0
MegakapillarenEktasien4,0,1,0,0
Bild_008,1,1,0,0
Bild_009,0,1,0,0
Bild_010,1,1,0,0
Bild_011,1,1,0,0
Bild_013,0,0,0,1
Bild_016,0,1,1,0
Bild_017,0,0,1,1
Bild_020,1,1,0,0
Bild_021,0,0,0,1
Bild_022,0,0,0,1
Bild_024,0,0,0,1
Bild_001,1,1,0,0
Bild_002,1,1,0,0
Bild_003,1,0,0,0
Bild_004,1,1,0,0
Bild_005,1,1,0,0
Bild_006,0,1,0,0
Bild_007,1,1,0,0
Bild_012,0,0,1,1
Bild_014,0,0,0,1
Bild_015,0,1,0,1
Bild_018,0,1,0,1
Bild_019,1,1,0,1
