ID,microhemorrhages,giant_capillaries,bushy_capillaries,normal_density
blutung1,1,0,0,0
blutung2,1,0,0,0
blutung3,1,0,0,0
blutung5,1,1,0,0
Bueschel11,0,0,1,0
Bueschel1,0,0,1,0
Bueschel3,0,0,1,0
Bueschel4,0,0,1,0
Bueschel6,0,0,1,0
Bueschel7,0,0,1,0
Kapillare_10,0,1,0,0
Kapillare_11,1,1,0,0
Kapillare_1,1,1,0,0
Kapillare_2,0,1,0,0
Kapillare_4,0,1,0,0
Kapillare_6,0,1,0,0
Kapillare_7,0,1,0,0
Kapillare_8,0,1,0,0
Normalbefund_1,0,0,0,0
Normalbefund_2,0,0,0,0
Normalbefund_3,0,0,0,0
Normalbefund_4,0,0,0,0
Normalbefund_5,0,0,0,0
Normalbefund_6,0,0,0,0
VerringerteDichte_4,0,0,0,1
VerringerteDichte_7,0,0,0,1
VerringerteDichte_Beispiel3,0,0,0,1
VerringerteDichte_Beispiel5,0,0,0,1
Verringerte_Dichte,0,0,0,1
seq0051,0,0,0,0
seq0052,0,0,0,0
seq0053,1,0,0,0
seq0054,0,0,0,0
seq0056,0,0,0,0
seq0057,0,0,0,0
seq0058,0,0,0,0
seq0059,0,0,1,0
seq0303,0,0,0,0
seq0304,0,0,0,0
seq0305,0,0,0,0
seq0306,0,0,0,0
seq0307,0,0,0,0
seq0308,1,0,0,0
seq0309,0,0,0,0
seq0310,0,0,0,0
seq0311,0,0,0,0
seq0312,0,0,0,0
seq0313,0,0,0,0
seq0314,0,0,0,0
seq0315,0,0,0,0
seq0316,0,0,0,0
seq0338,0,0,0,0
seq0339,0,0,0,0
seq0340,0,0,0,0
seq0342,0,0,0,0
seq0344,0,0,0,0
seq0346,0,0,0,0
seq0348,0,0,1,0
seq0349,0,0,0,0
seq0350,0,0,0,0
